ID,Title,Content,Excerpt,_la-digue_price_method,_la-digue_regular_price,_la-digue_sale_price,_mahe_price_method,_mahe_regular_price,_mahe_sale_price,_praslin_price_method,_praslin_regular_price,_praslin_sale_price,Brands,Product Type,Product categories,Product tags,Product shipping classes,Image URL,Images Filename,Images Path,Images ID,Images Title,Images Caption,Images Description,Images Alt Text,Attachment URL,Attachments Filename,Attachments Path,Attachments ID,Attachments Title,Attachments Caption,Attachments Description,Attachments Alt Text,Slug,Attribute Name (Packages),Attribute Value (Packages),Attribute In Variations (Packages),Attribute Is Visible (Packages),Attribute Is Taxonomy (Packages),Attribute Position (Packages),Visibility,Stock Status,Regular Price,Sale Price,Featured,Weight,Length,Width,Height,SKU,Price,Manage Stock,Stock,Tax Status,Tax Class,Default Attributes
5075,POPCORN SQUARE 32OZ HOTPACK (1000 PIECE),,,manually,236,,manually,108,,manually,469.57,,HOTPACK,simple,Cleaning &amp; Household,PACKING,,,,,,,,,,,,,,,,,,popcorn-square-32oz-hotpack-1000-piece,packages,,no,no,yes,,,instock,1350,,no,,,,,AMPAP0160,1350,no,,none,15,
5077,DOME LID WITHOUT HOLE FOR ICE PET BOWL HOTPACK (1000 PIECE),,,manually,236,,manually,108,,manually,469.57,,HOTPACK,simple,Cleaning &amp; Household,PACKING,,,,,,,,,,,,,,,,,,dome-lid-without-hole-for-ice-pet-bowl-hotpack-1000-piece,packages,,no,no,yes,,,instock,820,,no,,,,,AMPAP0170,820,no,,none,15,
5079,POWDER BAKING KENT 1 KG,,,manually,236,,manually,108,,manually,469.57,,KENT BORINGER,simple,Grocery &amp; Food Cupboard,"BAKING,POWDER",,,,,,,,,,,,,,,,,,powder-baking-kent-1-kg,packages,,no,no,yes,,,instock,50,,no,,,,,DRPOW0103,50,no,,none,15,
5081,OIL OLIVE POMACE (KENT)1 LITRE,,,manually,236,,manually,108,,manually,469.57,,KENT BORINGER,simple,Grocery &amp; Food Cupboard,"OIL,OLIVE",,,,,,,,,,,,,,,,,,oil-olive-pomace-kent1-litre,packages,,no,no,yes,,,instock,80,,no,,,,,DROIL0032,80,no,,none,0,
5083,COOKING WINE MADEIRA TAYLER 750 ML,,,manually,236,,manually,108,,manually,469.57,,MADEIRA TAYLER,simple,Alcohol,"COOKING,WINE",,,,,,,,,,,,,,,,,,cooking-wine-madeira-tayler-750-ml,packages,,no,no,yes,,,instock,1966,,no,,,,,DRWIN0071,1966,no,,none,15,
5085,PERFUME AFTER DARK (M) MARYAJ 100 ML,,,manually,236,,manually,108,,manually,469.57,,MARYAJ,simple,Hygiene,"MALE,PERFUME,SPRAY",,,,,,,,,,,,,,,,,,perfume-after-dark-m-maryaj-100-ml,packages,,no,no,yes,,,instock,180,,no,,,,,AMCRE0064,180,no,,none,15,
5087,PERFUME MAVEN (F) MARYAJ 100 ML,,,manually,236,,manually,108,,manually,469.57,,MARYAJ,simple,Hygiene,"FEMALE,PERFUME,SPRAY",,,,,,,,,,,,,,,,,,perfume-maven-f-maryaj-100-ml,packages,,no,no,yes,,,instock,232,,no,,,,,AMCRE0103,232,no,,none,15,
5089,PERFUME EBONY (M) MARYAJ 100 ML,,,manually,236,,manually,108,,manually,469.57,,MARYAJ,simple,Hygiene,"MALE,PERFUME,SPRAY",,,,,,,,,,,,,,,,,,perfume-ebony-m-maryaj-100-ml,packages,,no,no,yes,,,instock,125,,no,,,,,AMCRE0104,125,no,,none,15,
5091,PERFUME NUT (M) MARYAJ 100 ML,,,manually,236,,manually,108,,manually,469.57,,MARYAJ,simple,Hygiene,"MALE,PERFUME,SPRAY",,,,,,,,,,,,,,,,,,perfume-nut-m-maryaj-100-ml,packages,,no,no,yes,,,instock,210,,no,,,,,AMCRE0163,210,no,,none,15,
5093,GIFT PACK UNION (M) MARYAJ (PERFUME + DEO),,,manually,236,,manually,108,,manually,469.57,,MARYAJ,simple,Hygiene,"MALE,PERFUME,SPRAY",,,,,,,,,,,,,,,,,,gift-pack-union-m-maryaj-perfume-deo,packages,,no,no,yes,,,instock,240,,no,,,,,AMCRE0177,240,no,,none,15,
